TestYUV, SliceMode, SlcNum, PicW, PicH, ThrdNum, SliceSize, AllocSize, FPS
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 1, 1500, 40769565, 202.785089  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 1, 600, 40769565, 213.255430  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 2, 1500, 40769565, 199.947178  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 2, 600, 40769565, 211.994065  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 3, 1500, 40769565, 211.246497  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 3, 600, 40769565, 206.623127  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 4, 1500, 40769565, 206.207198  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 4, 600, 40769565, 206.381598  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 1, 1500, 40791765, 201.243252  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 1, 600, 40791765, 212.509795  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 2, 1500, 53334213, 297.749492  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 2, 600, 53334213, 299.560936  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 3, 1500, 56468744, 350.691571  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 3, 600, 56468744, 340.762537  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 4, 1500, 59603275, 412.663654  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 4, 600, 59603275, 419.861170  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 1, 1500, 40776965, 198.055256  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 1, 600, 40776965, 216.646450  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 2, 1500, 53317663, 227.098602  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 2, 600, 53317663, 223.100255  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 3, 1500, 53317663, 229.502537  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 3, 600, 53317663, 228.342781  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 4, 1500, 53317663, 230.042251  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 4, 600, 53317663, 219.336899  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 1, 1500, 41021165, 190.594730  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 1, 600, 41338787, 202.961606  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 2, 1500, 53778048, 291.012721  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 2, 600, 61754853, 283.325563  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 3, 1500, 56912654, 345.347641  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 3, 600, 63188066, 357.031402  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 4, 1500, 60811820, 372.202636  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 4, 600, 75268470, 386.666057  
