TestYUV, SliceMode, SlcNum, PicW, PicH, ThrdNum, SliceSize, AllocSize, FPS
 CiscoVT2people_320x192_12fps.yuv, 0, 1, 320, 192, 1, 1500, 1735821, 915.006100  
 CiscoVT2people_320x192_12fps.yuv, 0, 1, 320, 192, 1, 600, 1735821, 993.487140  
 CiscoVT2people_320x192_12fps.yuv, 0, 1, 320, 192, 2, 1500, 1735821, 945.974354  
 CiscoVT2people_320x192_12fps.yuv, 0, 1, 320, 192, 2, 600, 1735821, 965.561635  
 CiscoVT2people_320x192_12fps.yuv, 0, 1, 320, 192, 3, 1500, 1735821, 984.144341  
 CiscoVT2people_320x192_12fps.yuv, 0, 1, 320, 192, 3, 600, 1735821, 949.868074  
 CiscoVT2people_320x192_12fps.yuv, 0, 1, 320, 192, 4, 1500, 1735821, 986.193294  
 CiscoVT2people_320x192_12fps.yuv, 0, 1, 320, 192, 4, 600, 1735821, 1004.800715  
 CiscoVT2people_320x192_12fps.yuv, 1, 4, 320, 192, 1, 1500, 1757289, 997.340426  
 CiscoVT2people_320x192_12fps.yuv, 1, 4, 320, 192, 1, 600, 1757289, 953.288847  
 CiscoVT2people_320x192_12fps.yuv, 1, 4, 320, 192, 2, 1500, 2134105, 1083.684527  
 CiscoVT2people_320x192_12fps.yuv, 1, 4, 320, 192, 2, 600, 2134105, 1109.467456  
 CiscoVT2people_320x192_12fps.yuv, 1, 4, 320, 192, 3, 1500, 2227344, 1197.764174  
 CiscoVT2people_320x192_12fps.yuv, 1, 4, 320, 192, 3, 600, 2227344, 1252.435291  
 CiscoVT2people_320x192_12fps.yuv, 1, 4, 320, 192, 4, 1500, 2320583, 1079.395538  
 CiscoVT2people_320x192_12fps.yuv, 1, 4, 320, 192, 4, 600, 2320583, 1167.769560  
 CiscoVT2people_320x192_12fps.yuv, 2, 4, 320, 192, 1, 1500, 1735821, 881.488737  
 CiscoVT2people_320x192_12fps.yuv, 2, 4, 320, 192, 1, 600, 1735821, 1003.792104  
 CiscoVT2people_320x192_12fps.yuv, 2, 4, 320, 192, 2, 1500, 1735821, 959.079284  
 CiscoVT2people_320x192_12fps.yuv, 2, 4, 320, 192, 2, 600, 1735821, 993.267851  
 CiscoVT2people_320x192_12fps.yuv, 2, 4, 320, 192, 3, 1500, 1735821, 950.168919  
 CiscoVT2people_320x192_12fps.yuv, 2, 4, 320, 192, 3, 600, 1735821, 928.505107  
 CiscoVT2people_320x192_12fps.yuv, 2, 4, 320, 192, 4, 1500, 1735821, 965.976173  
 CiscoVT2people_320x192_12fps.yuv, 2, 4, 320, 192, 4, 600, 1735821, 959.897611  
 CiscoVT2people_320x192_12fps.yuv, 3, 0, 320, 192, 1, 1500, 1979125, 986.950324  
 CiscoVT2people_320x192_12fps.yuv, 3, 0, 320, 192, 1, 600, 1979125, 973.236010  
 CiscoVT2people_320x192_12fps.yuv, 3, 0, 320, 192, 2, 1500, 2396272, 1066.224381  
 CiscoVT2people_320x192_12fps.yuv, 3, 0, 320, 192, 2, 600, 2396272, 935.891437  
 CiscoVT2people_320x192_12fps.yuv, 3, 0, 320, 192, 3, 1500, 2489582, 1142.857143  
 CiscoVT2people_320x192_12fps.yuv, 3, 0, 320, 192, 3, 600, 2489582, 1137.980085  
 CiscoVT2people_320x192_12fps.yuv, 3, 0, 320, 192, 4, 1500, 2582892, 1013.285296  
 CiscoVT2people_320x192_12fps.yuv, 3, 0, 320, 192, 4, 600, 2582892, 1166.180758  
 xuemei_640x360.yuv, 0, 1, 640, 360, 1, 1500, 5310765, 939.582136  
 xuemei_640x360.yuv, 0, 1, 640, 360, 1, 600, 5310765, 941.389309  
 xuemei_640x360.yuv, 0, 1, 640, 360, 2, 1500, 5310765, 931.216971  
 xuemei_640x360.yuv, 0, 1, 640, 360, 2, 600, 5310765, 935.595905  
 xuemei_640x360.yuv, 0, 1, 640, 360, 3, 1500, 5310765, 951.740004  
 xuemei_640x360.yuv, 0, 1, 640, 360, 3, 600, 5310765, 934.104852  
 xuemei_640x360.yuv, 0, 1, 640, 360, 4, 1500, 5310765, 944.475811  
 xuemei_640x360.yuv, 0, 1, 640, 360, 4, 600, 5310765, 938.240794  
 xuemei_640x360.yuv, 1, 4, 640, 360, 1, 1500, 5332233, 931.077573  
 xuemei_640x360.yuv, 1, 4, 640, 360, 1, 600, 5332233, 930.520799  
 xuemei_640x360.yuv, 1, 4, 640, 360, 2, 1500, 6753529, 1459.235479  
 xuemei_640x360.yuv, 1, 4, 640, 360, 2, 600, 6753529, 1450.613602  
 xuemei_640x360.yuv, 1, 4, 640, 360, 3, 1500, 7107888, 1521.797235  
 xuemei_640x360.yuv, 1, 4, 640, 360, 3, 600, 7107888, 1669.986861  
 xuemei_640x360.yuv, 1, 4, 640, 360, 4, 1500, 7462247, 1669.853799  
 xuemei_640x360.yuv, 1, 4, 640, 360, 4, 600, 7462247, 1758.645932  
 xuemei_640x360.yuv, 2, 4, 640, 360, 1, 1500, 5310765, 936.611945  
 xuemei_640x360.yuv, 2, 4, 640, 360, 1, 600, 5310765, 936.827565  
 xuemei_640x360.yuv, 2, 4, 640, 360, 2, 1500, 5310765, 948.737713  
 xuemei_640x360.yuv, 2, 4, 640, 360, 2, 600, 5310765, 947.660979  
 xuemei_640x360.yuv, 2, 4, 640, 360, 3, 1500, 5310765, 944.893830  
 xuemei_640x360.yuv, 2, 4, 640, 360, 3, 600, 5310765, 932.791310  
 xuemei_640x360.yuv, 2, 4, 640, 360, 4, 1500, 5310765, 907.943458  
 xuemei_640x360.yuv, 2, 4, 640, 360, 4, 600, 5310765, 945.469994  
 xuemei_640x360.yuv, 3, 0, 640, 360, 1, 1500, 5554069, 887.401897  
 xuemei_640x360.yuv, 3, 0, 640, 360, 1, 600, 5554069, 886.704220  
 xuemei_640x360.yuv, 3, 0, 640, 360, 2, 1500, 7030576, 1038.573777  
 xuemei_640x360.yuv, 3, 0, 640, 360, 2, 600, 7309959, 1039.770967  
 xuemei_640x360.yuv, 3, 0, 640, 360, 3, 1500, 7385006, 1423.225998  
 xuemei_640x360.yuv, 3, 0, 640, 360, 3, 600, 7571500, 1435.837163  
 xuemei_640x360.yuv, 3, 0, 640, 360, 4, 1500, 7739436, 1532.226795  
 xuemei_640x360.yuv, 3, 0, 640, 360, 4, 600, 7990711, 1613.194141  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 1, 1500, 18568513, 353.349331  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 1, 600, 18568513, 354.532633  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 2, 1500, 18568513, 350.660527  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 2, 600, 18568513, 356.529192  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 3, 1500, 18568513, 356.453179  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 3, 600, 18568513, 347.070515  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 4, 1500, 18568513, 363.601170  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 4, 600, 18568513, 361.384109  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 1, 1500, 18589981, 347.423594  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 1, 600, 18589981, 347.467726  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 2, 1500, 24127757, 520.698954  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 2, 600, 24127757, 526.147149  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 3, 1500, 25511236, 585.115195  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 3, 600, 25511236, 589.095381  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 4, 1500, 26894715, 709.965251  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 4, 600, 26894715, 653.111017  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 1, 1500, 18575669, 346.708147  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 1, 600, 18575669, 337.722971  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 2, 1500, 24111703, 515.328409  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 2, 600, 24111703, 515.167566  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 3, 1500, 24111703, 511.950115  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 3, 600, 24111703, 509.851971  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 4, 1500, 24111703, 503.233616  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 4, 600, 24111703, 510.051401  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 1, 1500, 18811817, 346.881551  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 1, 600, 18811817, 356.130256  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 2, 1500, 24463652, 478.365167  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 2, 600, 24463652, 500.979807  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 3, 1500, 25847202, 564.380406  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 3, 600, 26925958, 583.273540  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 4, 1500, 27230752, 605.213678  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 4, 600, 30298922, 626.787907  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 1, 1500, 40538845, 183.517633  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 1, 600, 40538845, 183.270425  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 2, 1500, 40538845, 183.522073  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 2, 600, 40538845, 180.387633  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 3, 1500, 40538845, 183.030763  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 3, 600, 40538845, 181.944290  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 4, 1500, 40538845, 181.822579  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 4, 600, 40538845, 182.168915  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 1, 1500, 40560313, 182.261075  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 1, 600, 40560313, 184.626000  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 2, 1500, 53102249, 258.324036  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 2, 600, 53102249, 254.929727  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 3, 1500, 56236768, 297.888579  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 3, 600, 56236768, 297.300533  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 4, 1500, 59371287, 369.889218  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 4, 600, 59371287, 364.315515  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 1, 1500, 40546001, 180.773756  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 1, 600, 40546001, 177.569345  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 2, 1500, 53086195, 194.634974  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 2, 600, 53086195, 195.434418  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 3, 1500, 53086195, 196.200985  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 3, 600, 53086195, 196.123473  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 4, 1500, 53086195, 195.733938  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 4, 600, 53086195, 196.017166  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 1, 1500, 40782149, 172.672969  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 1, 600, 41083895, 173.581453  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 2, 1500, 53538152, 249.692397  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 2, 600, 61490561, 247.678918  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 3, 1500, 56672742, 293.119904  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 3, 600, 61974397, 305.799308  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 4, 1500, 60568756, 334.172977  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 4, 600, 69656681, 340.551220  
 SlideShowFast_SCC_2880x1800.yuv, 0, 1, 2880, 1800, 1, 1500, 98347805, 71.480893  
 SlideShowFast_SCC_2880x1800.yuv, 0, 1, 2880, 1800, 1, 600, 98347805, 76.359346  
 SlideShowFast_SCC_2880x1800.yuv, 0, 1, 2880, 1800, 2, 1500, 98347805, 76.398573  
 SlideShowFast_SCC_2880x1800.yuv, 0, 1, 2880, 1800, 2, 600, 98347805, 69.355172  
 SlideShowFast_SCC_2880x1800.yuv, 0, 1, 2880, 1800, 3, 1500, 98347805, 71.349086  
 SlideShowFast_SCC_2880x1800.yuv, 0, 1, 2880, 1800, 3, 600, 98347805, 68.806052  
 SlideShowFast_SCC_2880x1800.yuv, 0, 1, 2880, 1800, 4, 1500, 98347805, 70.297848  
 SlideShowFast_SCC_2880x1800.yuv, 0, 1, 2880, 1800, 4, 600, 98347805, 72.581388  
 SlideShowFast_SCC_2880x1800.yuv, 1, 4, 2880, 1800, 1, 1500, 98369273, 69.425345  
 SlideShowFast_SCC_2880x1800.yuv, 1, 4, 2880, 1800, 1, 600, 98369273, 75.853147  
 SlideShowFast_SCC_2880x1800.yuv, 1, 4, 2880, 1800, 2, 1500, 129619689, 112.518050  
 SlideShowFast_SCC_2880x1800.yuv, 1, 4, 2880, 1800, 2, 600, 129619689, 113.778512  
 SlideShowFast_SCC_2880x1800.yuv, 1, 4, 2880, 1800, 3, 1500, 137431328, 120.426477  
 SlideShowFast_SCC_2880x1800.yuv, 1, 4, 2880, 1800, 3, 600, 137431328, 117.185132  
 SlideShowFast_SCC_2880x1800.yuv, 1, 4, 2880, 1800, 4, 1500, 145242967, 150.058174  
 SlideShowFast_SCC_2880x1800.yuv, 1, 4, 2880, 1800, 4, 600, 145242967, 158.767202  
