TestYUV, SliceMode, SlcNum, PicW, PicH, ThrdNum, SliceSize, AllocSize, FPS
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 1, 1500, 18568513, 353.349331  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 1, 600, 18568513, 354.532633  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 2, 1500, 18568513, 350.660527  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 2, 600, 18568513, 356.529192  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 3, 1500, 18568513, 356.453179  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 3, 600, 18568513, 347.070515  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 4, 1500, 18568513, 363.601170  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 4, 600, 18568513, 361.384109  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 1, 1500, 18589981, 347.423594  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 1, 600, 18589981, 347.467726  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 2, 1500, 24127757, 520.698954  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 2, 600, 24127757, 526.147149  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 3, 1500, 25511236, 585.115195  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 3, 600, 25511236, 589.095381  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 4, 1500, 26894715, 709.965251  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 4, 600, 26894715, 653.111017  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 1, 1500, 18575669, 346.708147  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 1, 600, 18575669, 337.722971  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 2, 1500, 24111703, 515.328409  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 2, 600, 24111703, 515.167566  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 3, 1500, 24111703, 511.950115  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 3, 600, 24111703, 509.851971  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 4, 1500, 24111703, 503.233616  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 4, 600, 24111703, 510.051401  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 1, 1500, 18811817, 346.881551  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 1, 600, 18811817, 356.130256  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 2, 1500, 24463652, 478.365167  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 2, 600, 24463652, 500.979807  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 3, 1500, 25847202, 564.380406  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 3, 600, 26925958, 583.273540  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 4, 1500, 27230752, 605.213678  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 4, 600, 30298922, 626.787907  
