TestYUV, SliceMode, SlcNum, PicW, PicH, ThrdNum, SliceSize, AllocSize, FPS
 xuemei_640x360.yuv, 0, 1, 640, 360, 1, 1500, 5310765, 939.582136  
 xuemei_640x360.yuv, 0, 1, 640, 360, 1, 600, 5310765, 941.389309  
 xuemei_640x360.yuv, 0, 1, 640, 360, 2, 1500, 5310765, 931.216971  
 xuemei_640x360.yuv, 0, 1, 640, 360, 2, 600, 5310765, 935.595905  
 xuemei_640x360.yuv, 0, 1, 640, 360, 3, 1500, 5310765, 951.740004  
 xuemei_640x360.yuv, 0, 1, 640, 360, 3, 600, 5310765, 934.104852  
 xuemei_640x360.yuv, 0, 1, 640, 360, 4, 1500, 5310765, 944.475811  
 xuemei_640x360.yuv, 0, 1, 640, 360, 4, 600, 5310765, 938.240794  
 xuemei_640x360.yuv, 1, 4, 640, 360, 1, 1500, 5332233, 931.077573  
 xuemei_640x360.yuv, 1, 4, 640, 360, 1, 600, 5332233, 930.520799  
 xuemei_640x360.yuv, 1, 4, 640, 360, 2, 1500, 6753529, 1459.235479  
 xuemei_640x360.yuv, 1, 4, 640, 360, 2, 600, 6753529, 1450.613602  
 xuemei_640x360.yuv, 1, 4, 640, 360, 3, 1500, 7107888, 1521.797235  
 xuemei_640x360.yuv, 1, 4, 640, 360, 3, 600, 7107888, 1669.986861  
 xuemei_640x360.yuv, 1, 4, 640, 360, 4, 1500, 7462247, 1669.853799  
 xuemei_640x360.yuv, 1, 4, 640, 360, 4, 600, 7462247, 1758.645932  
 xuemei_640x360.yuv, 2, 4, 640, 360, 1, 1500, 5310765, 936.611945  
 xuemei_640x360.yuv, 2, 4, 640, 360, 1, 600, 5310765, 936.827565  
 xuemei_640x360.yuv, 2, 4, 640, 360, 2, 1500, 5310765, 948.737713  
 xuemei_640x360.yuv, 2, 4, 640, 360, 2, 600, 5310765, 947.660979  
 xuemei_640x360.yuv, 2, 4, 640, 360, 3, 1500, 5310765, 944.893830  
 xuemei_640x360.yuv, 2, 4, 640, 360, 3, 600, 5310765, 932.791310  
 xuemei_640x360.yuv, 2, 4, 640, 360, 4, 1500, 5310765, 907.943458  
 xuemei_640x360.yuv, 2, 4, 640, 360, 4, 600, 5310765, 945.469994  
 xuemei_640x360.yuv, 3, 0, 640, 360, 1, 1500, 5554069, 887.401897  
 xuemei_640x360.yuv, 3, 0, 640, 360, 1, 600, 5554069, 886.704220  
 xuemei_640x360.yuv, 3, 0, 640, 360, 2, 1500, 7030576, 1038.573777  
 xuemei_640x360.yuv, 3, 0, 640, 360, 2, 600, 7309959, 1039.770967  
 xuemei_640x360.yuv, 3, 0, 640, 360, 3, 1500, 7385006, 1423.225998  
 xuemei_640x360.yuv, 3, 0, 640, 360, 3, 600, 7571500, 1435.837163  
 xuemei_640x360.yuv, 3, 0, 640, 360, 4, 1500, 7739436, 1532.226795  
 xuemei_640x360.yuv, 3, 0, 640, 360, 4, 600, 7990711, 1613.194141  
