TestYUV, SliceMode, SlcNum, PicW, PicH, ThrdNum, SliceSize, AllocSize, FPS
 SlideShowFast_SCC_2880x1800.yuv, 0, 1, 2880, 1800, 1, 1500, 98347805, 73.072143  
 SlideShowFast_SCC_2880x1800.yuv, 0, 1, 2880, 1800, 1, 600, 98347805, 75.742364  
 SlideShowFast_SCC_2880x1800.yuv, 0, 1, 2880, 1800, 2, 1500, 98347805, 74.211719  
 SlideShowFast_SCC_2880x1800.yuv, 0, 1, 2880, 1800, 2, 600, 98347805, 69.783793  
 SlideShowFast_SCC_2880x1800.yuv, 0, 1, 2880, 1800, 3, 1500, 98347805, 73.266986  
 SlideShowFast_SCC_2880x1800.yuv, 0, 1, 2880, 1800, 3, 600, 98347805, 73.629992  
 SlideShowFast_SCC_2880x1800.yuv, 0, 1, 2880, 1800, 4, 1500, 98347805, 73.801861  
 SlideShowFast_SCC_2880x1800.yuv, 0, 1, 2880, 1800, 4, 600, 98347805, 74.938799  
 SlideShowFast_SCC_2880x1800.yuv, 1, 4, 2880, 1800, 1, 1500, 98369273, 72.780512  
 SlideShowFast_SCC_2880x1800.yuv, 1, 4, 2880, 1800, 1, 600, 98369273, 72.006164  
 SlideShowFast_SCC_2880x1800.yuv, 1, 4, 2880, 1800, 2, 1500, 129619689, 112.023332  
 SlideShowFast_SCC_2880x1800.yuv, 1, 4, 2880, 1800, 2, 600, 129619689, 112.451974  
 SlideShowFast_SCC_2880x1800.yuv, 1, 4, 2880, 1800, 3, 1500, 137431328, 122.338033  
 SlideShowFast_SCC_2880x1800.yuv, 1, 4, 2880, 1800, 3, 600, 137431328, 123.266933  
 SlideShowFast_SCC_2880x1800.yuv, 1, 4, 2880, 1800, 4, 1500, 145242967, 160.324955  
 SlideShowFast_SCC_2880x1800.yuv, 1, 4, 2880, 1800, 4, 600, 145242967, 158.871717  
 SlideShowFast_SCC_2880x1800.yuv, 2, 4, 2880, 1800, 1, 1500, 98354961, 76.721199  
 SlideShowFast_SCC_2880x1800.yuv, 2, 4, 2880, 1800, 1, 600, 98354961, 77.250608  
 SlideShowFast_SCC_2880x1800.yuv, 2, 4, 2880, 1800, 2, 1500, 129603635, 74.491026  
 SlideShowFast_SCC_2880x1800.yuv, 2, 4, 2880, 1800, 2, 600, 129603635, 75.362623  
 SlideShowFast_SCC_2880x1800.yuv, 2, 4, 2880, 1800, 3, 1500, 129603635, 75.098541  
 SlideShowFast_SCC_2880x1800.yuv, 2, 4, 2880, 1800, 3, 600, 129603635, 72.848270  
 SlideShowFast_SCC_2880x1800.yuv, 2, 4, 2880, 1800, 4, 1500, 129603635, 73.145961  
 SlideShowFast_SCC_2880x1800.yuv, 2, 4, 2880, 1800, 4, 600, 129603635, 69.502239  
 SlideShowFast_SCC_2880x1800.yuv, 3, 0, 2880, 1800, 1, 1500, 98591109, 66.905024  
 SlideShowFast_SCC_2880x1800.yuv, 3, 0, 2880, 1800, 1, 600, 99494201, 64.476728  
 SlideShowFast_SCC_2880x1800.yuv, 3, 0, 2880, 1800, 2, 1500, 136708954, 103.082770  
 SlideShowFast_SCC_2880x1800.yuv, 3, 0, 2880, 1800, 2, 600, 167749160, 106.425163  
 SlideShowFast_SCC_2880x1800.yuv, 3, 0, 2880, 1800, 3, 1500, 153191947, 134.056951  
 SlideShowFast_SCC_2880x1800.yuv, 3, 0, 2880, 1800, 3, 600, 206149931, 125.242223  
 SlideShowFast_SCC_2880x1800.yuv, 3, 0, 2880, 1800, 4, 1500, 161010784, 145.920302  
 SlideShowFast_SCC_2880x1800.yuv, 3, 0, 2880, 1800, 4, 600, 234505766, 154.614123  
