TestYUV, SliceMode, SlcNum, PicW, PicH, ThrdNum, SliceSize, AllocSize, FPS
 xuemei_640x360.yuv, 0, 1, 640, 360, 1, 1500, 5310765, 946.345890  
 xuemei_640x360.yuv, 0, 1, 640, 360, 1, 600, 5310765, 933.422712  
 xuemei_640x360.yuv, 0, 1, 640, 360, 2, 1500, 5310765, 876.325585  
 xuemei_640x360.yuv, 0, 1, 640, 360, 2, 600, 5310765, 872.001238  
 xuemei_640x360.yuv, 0, 1, 640, 360, 3, 1500, 5310765, 940.598870  
 xuemei_640x360.yuv, 0, 1, 640, 360, 3, 600, 5310765, 901.291007  
 xuemei_640x360.yuv, 0, 1, 640, 360, 4, 1500, 5310765, 940.399250  
 xuemei_640x360.yuv, 0, 1, 640, 360, 4, 600, 5310765, 949.795180  
 xuemei_640x360.yuv, 1, 4, 640, 360, 1, 1500, 5332233, 937.605897  
 xuemei_640x360.yuv, 1, 4, 640, 360, 1, 600, 5332233, 838.427026  
 xuemei_640x360.yuv, 1, 4, 640, 360, 2, 1500, 6753529, 1355.561794  
 xuemei_640x360.yuv, 1, 4, 640, 360, 2, 600, 6753529, 1464.409642  
 xuemei_640x360.yuv, 1, 4, 640, 360, 3, 1500, 7107888, 1626.478072  
 xuemei_640x360.yuv, 1, 4, 640, 360, 3, 600, 7107888, 1655.044947  
 xuemei_640x360.yuv, 1, 4, 640, 360, 4, 1500, 7462247, 1731.103154  
 xuemei_640x360.yuv, 1, 4, 640, 360, 4, 600, 7462247, 1628.526607  
 xuemei_640x360.yuv, 2, 4, 640, 360, 1, 1500, 5310765, 888.379603  
 xuemei_640x360.yuv, 2, 4, 640, 360, 1, 600, 5310765, 841.762923  
 xuemei_640x360.yuv, 2, 4, 640, 360, 2, 1500, 5310765, 896.504532  
 xuemei_640x360.yuv, 2, 4, 640, 360, 2, 600, 5310765, 898.334162  
 xuemei_640x360.yuv, 2, 4, 640, 360, 3, 1500, 5310765, 863.489050  
 xuemei_640x360.yuv, 2, 4, 640, 360, 3, 600, 5310765, 882.935348  
 xuemei_640x360.yuv, 2, 4, 640, 360, 4, 1500, 5310765, 873.646374  
 xuemei_640x360.yuv, 2, 4, 640, 360, 4, 600, 5310765, 888.078899  
 xuemei_640x360.yuv, 3, 0, 640, 360, 1, 1500, 5554069, 844.022847  
 xuemei_640x360.yuv, 3, 0, 640, 360, 1, 600, 5554069, 841.052432  
 xuemei_640x360.yuv, 3, 0, 640, 360, 2, 1500, 7030576, 1021.995902  
 xuemei_640x360.yuv, 3, 0, 640, 360, 2, 600, 7341347, 1031.713554  
 xuemei_640x360.yuv, 3, 0, 640, 360, 3, 1500, 7385006, 1284.146319  
 xuemei_640x360.yuv, 3, 0, 640, 360, 3, 600, 7694444, 1425.321712  
 xuemei_640x360.yuv, 3, 0, 640, 360, 4, 1500, 7739436, 1539.549132  
 xuemei_640x360.yuv, 3, 0, 640, 360, 4, 600, 8022194, 1607.560405  
