TestYUV, SliceMode, SlcNum, PicW, PicH, ThrdNum, SliceSize, AllocSize, FPS
 CiscoVT2people_320x192_12fps.yuv, 0, 1, 320, 192, 1, 1500, 1742667, 961.333048  
 CiscoVT2people_320x192_12fps.yuv, 0, 1, 320, 192, 1, 600, 1742667, 912.871488  
 CiscoVT2people_320x192_12fps.yuv, 0, 1, 320, 192, 2, 1500, 1742667, 831.255195  
 CiscoVT2people_320x192_12fps.yuv, 0, 1, 320, 192, 2, 600, 1742667, 850.099178  
 CiscoVT2people_320x192_12fps.yuv, 0, 1, 320, 192, 3, 1500, 1742667, 963.184932  
 CiscoVT2people_320x192_12fps.yuv, 0, 1, 320, 192, 3, 600, 1742667, 990.534889  
 CiscoVT2people_320x192_12fps.yuv, 0, 1, 320, 192, 4, 1500, 1742667, 612.828544  
 CiscoVT2people_320x192_12fps.yuv, 0, 1, 320, 192, 4, 600, 1742667, 898.472597  
 CiscoVT2people_320x192_12fps.yuv, 1, 4, 320, 192, 1, 1500, 1785291, 937.890788  
 CiscoVT2people_320x192_12fps.yuv, 1, 4, 320, 192, 1, 600, 1785291, 1010.101010  
 CiscoVT2people_320x192_12fps.yuv, 1, 4, 320, 192, 2, 1500, 2569438, 991.735537  
 CiscoVT2people_320x192_12fps.yuv, 1, 4, 320, 192, 2, 600, 2569438, 1076.297536  
 CiscoVT2people_320x192_12fps.yuv, 1, 4, 320, 192, 3, 1500, 2880416, 1137.944114  
 CiscoVT2people_320x192_12fps.yuv, 1, 4, 320, 192, 3, 600, 2880416, 1062.950278  
 CiscoVT2people_320x192_12fps.yuv, 1, 4, 320, 192, 4, 1500, 3191394, 1156.366440  
 CiscoVT2people_320x192_12fps.yuv, 1, 4, 320, 192, 4, 600, 3191394, 1204.658011  
 CiscoVT2people_320x192_12fps.yuv, 2, 4, 320, 192, 1, 1500, 1742667, 803.499688  
 CiscoVT2people_320x192_12fps.yuv, 2, 4, 320, 192, 1, 600, 1742667, 830.641440  
 CiscoVT2people_320x192_12fps.yuv, 2, 4, 320, 192, 2, 1500, 1742667, 962.052378  
 CiscoVT2people_320x192_12fps.yuv, 2, 4, 320, 192, 2, 600, 1742667, 1005.586592  
 CiscoVT2people_320x192_12fps.yuv, 2, 4, 320, 192, 3, 1500, 1742667, 810.153929  
 CiscoVT2people_320x192_12fps.yuv, 2, 4, 320, 192, 3, 600, 1742667, 968.887932  
 CiscoVT2people_320x192_12fps.yuv, 2, 4, 320, 192, 4, 1500, 1742667, 976.986539  
 CiscoVT2people_320x192_12fps.yuv, 2, 4, 320, 192, 4, 600, 1742667, 934.579439  
 CiscoVT2people_320x192_12fps.yuv, 3, 0, 320, 192, 1, 1500, 2225964, 915.564598  
 CiscoVT2people_320x192_12fps.yuv, 3, 0, 320, 192, 1, 600, 2225964, 904.363554  
 CiscoVT2people_320x192_12fps.yuv, 3, 0, 320, 192, 2, 1500, 3310110, 1175.395063  
 CiscoVT2people_320x192_12fps.yuv, 3, 0, 320, 192, 2, 600, 3310110, 1102.232020  
 CiscoVT2people_320x192_12fps.yuv, 3, 0, 320, 192, 3, 1500, 3429934, 1009.336361  
 CiscoVT2people_320x192_12fps.yuv, 3, 0, 320, 192, 3, 600, 3429934, 1206.636501  
 CiscoVT2people_320x192_12fps.yuv, 3, 0, 320, 192, 4, 1500, 3523264, 1433.121019  
 CiscoVT2people_320x192_12fps.yuv, 3, 0, 320, 192, 4, 600, 3523264, 1160.597708  
 xuemei_640x360.yuv, 0, 1, 640, 360, 1, 1500, 5317611, 884.269755  
 xuemei_640x360.yuv, 0, 1, 640, 360, 1, 600, 5317611, 909.372834  
 xuemei_640x360.yuv, 0, 1, 640, 360, 2, 1500, 5317611, 892.130106  
 xuemei_640x360.yuv, 0, 1, 640, 360, 2, 600, 5317611, 891.123003  
 xuemei_640x360.yuv, 0, 1, 640, 360, 3, 1500, 5317611, 901.198947  
 xuemei_640x360.yuv, 0, 1, 640, 360, 3, 600, 5317611, 869.761692  
 xuemei_640x360.yuv, 0, 1, 640, 360, 4, 1500, 5317611, 886.404231  
 xuemei_640x360.yuv, 0, 1, 640, 360, 4, 600, 5317611, 878.212147  
 xuemei_640x360.yuv, 1, 4, 640, 360, 1, 1500, 5360235, 891.990379  
 xuemei_640x360.yuv, 1, 4, 640, 360, 1, 600, 5360235, 879.879086  
 xuemei_640x360.yuv, 1, 4, 640, 360, 2, 1500, 8233342, 1414.299211  
 xuemei_640x360.yuv, 1, 4, 640, 360, 2, 600, 8233342, 1422.181410  
 xuemei_640x360.yuv, 1, 4, 640, 360, 3, 1500, 9327680, 1639.472506  
 xuemei_640x360.yuv, 1, 4, 640, 360, 3, 600, 9327680, 1649.767023  
 xuemei_640x360.yuv, 1, 4, 640, 360, 4, 1500, 10422018, 1669.766113  
 xuemei_640x360.yuv, 1, 4, 640, 360, 4, 600, 10422018, 1576.387778  
 xuemei_640x360.yuv, 2, 4, 640, 360, 1, 1500, 5317611, 894.227345  
 xuemei_640x360.yuv, 2, 4, 640, 360, 1, 600, 5317611, 892.666880  
 xuemei_640x360.yuv, 2, 4, 640, 360, 2, 1500, 5317611, 886.717207  
 xuemei_640x360.yuv, 2, 4, 640, 360, 2, 600, 5317611, 880.852545  
 xuemei_640x360.yuv, 2, 4, 640, 360, 3, 1500, 5317611, 871.252935  
 xuemei_640x360.yuv, 2, 4, 640, 360, 3, 600, 5317611, 865.505483  
 xuemei_640x360.yuv, 2, 4, 640, 360, 4, 1500, 5317611, 894.543464  
 xuemei_640x360.yuv, 2, 4, 640, 360, 4, 600, 5317611, 895.039756  
 xuemei_640x360.yuv, 3, 0, 640, 360, 1, 1500, 5800908, 837.440370  
 xuemei_640x360.yuv, 3, 0, 640, 360, 1, 600, 5800908, 830.536877  
 xuemei_640x360.yuv, 3, 0, 640, 360, 2, 1500, 8973894, 984.618606  
 xuemei_640x360.yuv, 3, 0, 640, 360, 2, 600, 8973894, 1041.654234  
 xuemei_640x360.yuv, 3, 0, 640, 360, 3, 1500, 9384678, 1424.944411  
 xuemei_640x360.yuv, 3, 0, 640, 360, 3, 600, 9384678, 1420.718512  
 xuemei_640x360.yuv, 3, 0, 640, 360, 4, 1500, 9739128, 1602.695144  
 xuemei_640x360.yuv, 3, 0, 640, 360, 4, 600, 9739128, 1614.409449  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 1, 1500, 18575359, 353.444628  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 1, 600, 18575359, 362.566486  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 2, 1500, 18575359, 356.311057  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 2, 600, 18575359, 340.588678  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 3, 1500, 18575359, 324.363344  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 3, 600, 18575359, 324.234023  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 4, 1500, 18575359, 325.852113  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 4, 600, 18575359, 346.784192  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 1, 1500, 18617983, 338.536540  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 1, 600, 18617983, 335.056734  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 2, 1500, 29724050, 521.893123  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 2, 600, 29724050, 513.076238  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 3, 1500, 33905748, 562.907792  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 3, 600, 33905748, 556.792176  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 4, 1500, 38087446, 647.464135  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 4, 600, 38087446, 646.951369  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 1, 1500, 18589567, 335.538770  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 1, 600, 18589567, 343.187610  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 2, 1500, 29676280, 488.586713  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 2, 600, 29676280, 488.276954  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 3, 1500, 29676280, 489.308229  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 3, 600, 29676280, 508.375020  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 4, 1500, 29676280, 467.721674  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 4, 600, 29676280, 506.507307  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 1, 1500, 19058656, 327.080654  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 1, 600, 19058656, 350.959195  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 2, 1500, 30464722, 469.266732  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 2, 600, 30464722, 473.734586  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 3, 1500, 32022242, 525.808171  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 3, 600, 32022242, 567.201917  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 4, 1500, 33405812, 509.423184  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 4, 600, 33405812, 542.927268  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 1, 1500, 40545691, 184.474005  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 1, 600, 40545691, 183.523842  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 2, 1500, 40545691, 171.113453  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 2, 600, 40545691, 167.736468  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 3, 1500, 40545691, 169.707003  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 3, 600, 40545691, 170.510345  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 4, 1500, 40545691, 176.246243  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 4, 600, 40545691, 171.824716  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 1, 1500, 40588315, 173.598682  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 1, 600, 40588315, 168.559751  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 2, 1500, 65702702, 241.577625  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 2, 600, 65702702, 252.212149  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 3, 1500, 75137520, 294.843891  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 3, 600, 75137520, 288.710776  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 4, 1500, 84572338, 359.685787  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 4, 600, 84572338, 367.539386  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 1, 1500, 40559899, 160.599718  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 1, 600, 40559899, 165.803501  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 2, 1500, 65654932, 190.284896  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 2, 600, 65654932, 184.462024  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 3, 1500, 65654932, 188.284637  
