TestYUV, SliceMode, SlcNum, PicW, PicH, ThrdNum, SliceSize, AllocSize, FPS
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 1, 1500, 40545691, 184.474005  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 1, 600, 40545691, 183.523842  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 2, 1500, 40545691, 171.113453  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 2, 600, 40545691, 167.736468  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 3, 1500, 40545691, 169.707003  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 3, 600, 40545691, 170.510345  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 4, 1500, 40545691, 176.246243  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 4, 600, 40545691, 171.824716  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 1, 1500, 40588315, 173.598682  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 1, 600, 40588315, 168.559751  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 2, 1500, 65702702, 241.577625  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 2, 600, 65702702, 252.212149  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 3, 1500, 75137520, 294.843891  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 3, 600, 75137520, 288.710776  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 4, 1500, 84572338, 359.685787  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 4, 600, 84572338, 367.539386  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 1, 1500, 40559899, 160.599718  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 1, 600, 40559899, 165.803501  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 2, 1500, 65654932, 190.284896  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 2, 600, 65654932, 184.462024  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 3, 1500, 65654932, 188.284637  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 3, 600, 65654932, 188.573273  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 4, 1500, 65654932, 185.450673  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 4, 600, 65654932, 193.235463  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 1, 1500, 41028988, 162.102009  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 1, 600, 41329681, 173.923446  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 2, 1500, 66443224, 247.293035  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 2, 600, 66443224, 238.088724  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 3, 1500, 69951900, 293.289116  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 3, 600, 69951900, 282.164610  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 4, 1500, 73086510, 325.369840  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 4, 600, 73086510, 294.847770  
