TestYUV, SliceMode, SlcNum, PicW, PicH, ThrdNum, SliceSize, AllocSize, FPS
 xuemei_640x360.yuv, 0, 1, 640, 360, 1, 1500, 5317611, 884.269755  
 xuemei_640x360.yuv, 0, 1, 640, 360, 1, 600, 5317611, 909.372834  
 xuemei_640x360.yuv, 0, 1, 640, 360, 2, 1500, 5317611, 892.130106  
 xuemei_640x360.yuv, 0, 1, 640, 360, 2, 600, 5317611, 891.123003  
 xuemei_640x360.yuv, 0, 1, 640, 360, 3, 1500, 5317611, 901.198947  
 xuemei_640x360.yuv, 0, 1, 640, 360, 3, 600, 5317611, 869.761692  
 xuemei_640x360.yuv, 0, 1, 640, 360, 4, 1500, 5317611, 886.404231  
 xuemei_640x360.yuv, 0, 1, 640, 360, 4, 600, 5317611, 878.212147  
 xuemei_640x360.yuv, 1, 4, 640, 360, 1, 1500, 5360235, 891.990379  
 xuemei_640x360.yuv, 1, 4, 640, 360, 1, 600, 5360235, 879.879086  
 xuemei_640x360.yuv, 1, 4, 640, 360, 2, 1500, 8233342, 1414.299211  
 xuemei_640x360.yuv, 1, 4, 640, 360, 2, 600, 8233342, 1422.181410  
 xuemei_640x360.yuv, 1, 4, 640, 360, 3, 1500, 9327680, 1639.472506  
 xuemei_640x360.yuv, 1, 4, 640, 360, 3, 600, 9327680, 1649.767023  
 xuemei_640x360.yuv, 1, 4, 640, 360, 4, 1500, 10422018, 1669.766113  
 xuemei_640x360.yuv, 1, 4, 640, 360, 4, 600, 10422018, 1576.387778  
 xuemei_640x360.yuv, 2, 4, 640, 360, 1, 1500, 5317611, 894.227345  
 xuemei_640x360.yuv, 2, 4, 640, 360, 1, 600, 5317611, 892.666880  
 xuemei_640x360.yuv, 2, 4, 640, 360, 2, 1500, 5317611, 886.717207  
 xuemei_640x360.yuv, 2, 4, 640, 360, 2, 600, 5317611, 880.852545  
 xuemei_640x360.yuv, 2, 4, 640, 360, 3, 1500, 5317611, 871.252935  
 xuemei_640x360.yuv, 2, 4, 640, 360, 3, 600, 5317611, 865.505483  
 xuemei_640x360.yuv, 2, 4, 640, 360, 4, 1500, 5317611, 894.543464  
 xuemei_640x360.yuv, 2, 4, 640, 360, 4, 600, 5317611, 895.039756  
 xuemei_640x360.yuv, 3, 0, 640, 360, 1, 1500, 5800908, 837.440370  
 xuemei_640x360.yuv, 3, 0, 640, 360, 1, 600, 5800908, 830.536877  
 xuemei_640x360.yuv, 3, 0, 640, 360, 2, 1500, 8973894, 984.618606  
 xuemei_640x360.yuv, 3, 0, 640, 360, 2, 600, 8973894, 1041.654234  
 xuemei_640x360.yuv, 3, 0, 640, 360, 3, 1500, 9384678, 1424.944411  
 xuemei_640x360.yuv, 3, 0, 640, 360, 3, 600, 9384678, 1420.718512  
 xuemei_640x360.yuv, 3, 0, 640, 360, 4, 1500, 9739128, 1602.695144  
 xuemei_640x360.yuv, 3, 0, 640, 360, 4, 600, 9739128, 1614.409449  
