desktop_dialog_1920x1080_i420.yuv, SliceMode, SlcNum, PicW, PicH, ThrdNum, SliceSize, AllocSize, FreeSize, LeakSize, FPS
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 1, 1500, , , ,   
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 2, 1500, , , ,   
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 3, 1500, , , ,   
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 4, 1500, , , ,   
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 1, 1500, , , ,   
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 2, 1500, , , ,   
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 3, 1500, , , ,   
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 4, 1500, , , ,   
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 1, 1500, , , ,   
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 2, 1500, , , ,   
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 3, 1500, , , ,   
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 4, 1500, , , ,   
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 1, 1500, , , ,   
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 2, 1500, , , ,   
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 3, 1500, , , ,   
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 4, 1500, , , ,   
