Zhuling_1280x720.yuv, SliceMode, SlcNum, PicW, PicH, ThrdNum, SliceSize, AllocSize, FreeSize, LeakSize, FPS
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 1, 1500, 18671553, 18671553, 0, 403.825466  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 1, 800, 18671553, 18671553, 0, 396.891651  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 2, 1500, 18671553, 18671553, 0, 406.328718  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 2, 800, 18671553, 18671553, 0, 406.957357  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 3, 1500, 18671553, 18671553, 0, 408.578267  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 3, 800, 18671553, 18671553, 0, 405.019536  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 4, 1500, 18671553, 18671553, 0, 406.721864  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 4, 800, 18671553, 18671553, 0, 412.233968  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 1, 1500, 18693753, 18693753, 0, 407.299877  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 1, 800, 18693753, 18693753, 0, 406.479159  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 2, 1500, 24232041, 24232041, 0, 604.385940  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 2, 800, 24232041, 24232041, 0, 619.106747  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 3, 1500, 25615532, 25615532, 0, 628.607874  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 3, 800, 25615532, 25615532, 0, 660.675552  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 4, 1500, 26999023, 26999023, 0, 765.133937  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 4, 800, 26999023, 26999023, 0, 751.863185  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 1, 1500, 18678953, 18678953, 0, 395.434865  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 1, 800, 18678953, 18678953, 0, 401.303332  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 2, 1500, 24215491, 24215491, 0, 585.428757  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 2, 800, 24215491, 24215491, 0, 593.304875  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 3, 1500, 24215491, 24215491, 0, 590.680420  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 3, 800, 24215491, 24215491, 0, 598.695814  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 4, 1500, 24215491, 24215491, 0, 595.919962  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 4, 800, 24215491, 24215491, 0, 587.223136  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 1, 1500, 18923153, 18923153, 0, 403.970031  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 1, 800, 18923153, 18923153, 0, 417.460707  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 2, 1500, 24575868, 24575868, 0, 549.617715  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 2, 800, 24575868, 24575868, 0, 570.700433  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 3, 1500, 25959434, 25959434, 0, 627.976606  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 3, 800, 26502968, 26502968, 0, 661.933654  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 4, 1500, 27343000, 27343000, 0, 655.214885  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 4, 800, 28436272, 28436272, 0, 679.377030  
