Zhuling_1280x720.yuv, SliceMode, SlcNum, PicW, PicH, ThrdNum, SliceSize, AllocSize, FreeSize, LeakSize, FPS
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 1, 1500, 18678571, 18678571, 0, 393.825086  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 1, 800, 18678571, 18678571, 0, 389.897186  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 2, 1500, 18678571, 18678571, 0, 356.863210  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 2, 800, 18678571, 18678571, 0, 381.492440  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 3, 1500, 18678571, 18678571, 0, 375.636190  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 3, 800, 18678571, 18678571, 0, 381.040112  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 4, 1500, 18678571, 18678571, 0, 385.141421  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 4, 800, 18678571, 18678571, 0, 395.023365  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 1, 1500, 18722467, 18722467, 0, 390.285620  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 1, 800, 18722467, 18722467, 0, 390.619336  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 2, 1500, 29830054, 29830054, 0, 593.742620  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 2, 800, 29830054, 29830054, 0, 602.160199  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 3, 1500, 34012616, 34012616, 0, 662.074301  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 3, 800, 34012616, 34012616, 0, 643.718465  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 4, 1500, 38195178, 38195178, 0, 770.080054  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 4, 800, 38195178, 38195178, 0, 745.246031  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 1, 1500, 18693203, 18693203, 0, 394.048798  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 1, 800, 18693203, 18693203, 0, 393.676876  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 2, 1500, 29780996, 29780996, 0, 576.793793  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 2, 800, 29780996, 29780996, 0, 581.652785  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 3, 1500, 29780996, 29780996, 0, 593.340554  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 3, 800, 29780996, 29780996, 0, 572.576303  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 4, 1500, 29780996, 29780996, 0, 585.471215  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 4, 800, 29780996, 29780996, 0, 580.978451  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 1, 1500, 19176296, 19176296, 0, 388.790204  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 1, 800, 19176296, 19176296, 0, 401.625927  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 2, 1500, 30590702, 30590702, 0, 539.259227  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 2, 800, 30590702, 30590702, 0, 522.393874  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 3, 1500, 32148662, 32148662, 0, 602.740806  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 3, 800, 32148662, 32148662, 0, 640.258129  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 4, 1500, 33532248, 33532248, 0, 638.873057  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 4, 800, 33532248, 33532248, 0, 685.853555  
