desktop_dialog_1920x1080_i420.yuv, SliceMode, SlcNum, PicW, PicH, ThrdNum, SliceSize, AllocSize, FreeSize, LeakSize, FPS
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 1, 1500, 40776583, 40776583, 0, 196.851162  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 1, 800, 40776583, 40776583, 0, 196.874632  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 2, 1500, 40776583, 40776583, 0, 193.084467  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 2, 800, 40776583, 40776583, 0, 199.876016  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 3, 1500, 40776583, 40776583, 0, 197.365800  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 3, 800, 40776583, 40776583, 0, 192.450679  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 4, 1500, 40776583, 40776583, 0, 198.215184  
 desktop_dialog_1920x1080_i420.yuv, 0, 1, 1920, 1080, 4, 800, 40776583, 40776583, 0, 196.823223  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 1, 1500, 40820479, 40820479, 0, 200.056366  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 1, 800, 40820479, 40820479, 0, 199.999805  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 2, 1500, 65936386, 65936386, 0, 295.337335  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 2, 800, 65936386, 65936386, 0, 294.673930  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 3, 1500, 75372068, 75372068, 0, 349.179661  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 3, 800, 75372068, 75372068, 0, 349.560243  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 4, 1500, 84807750, 84807750, 0, 397.125622  
 desktop_dialog_1920x1080_i420.yuv, 1, 4, 1920, 1080, 4, 800, 84807750, 84807750, 0, 380.230067  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 1, 1500, 40791215, 40791215, 0, 196.706704  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 1, 800, 40791215, 40791215, 0, 196.251010  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 2, 1500, 65887328, 65887328, 0, 224.941030  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 2, 800, 65887328, 65887328, 0, 221.135524  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 3, 1500, 65887328, 65887328, 0, 221.840002  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 3, 800, 65887328, 65887328, 0, 224.898681  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 4, 1500, 65887328, 65887328, 0, 225.214655  
 desktop_dialog_1920x1080_i420.yuv, 2, 4, 1920, 1080, 4, 800, 65887328, 65887328, 0, 222.720535  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 1, 1500, 41274308, 41274308, 0, 186.371652  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 1, 800, 41274308, 41274308, 0, 187.098518  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 2, 1500, 66696884, 66696884, 0, 273.053262  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 2, 800, 66696884, 66696884, 0, 278.526050  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 3, 1500, 70206000, 70206000, 0, 329.963680  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 3, 800, 70206000, 70206000, 0, 328.515503  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 4, 1500, 73340626, 73340626, 0, 361.009718  
 desktop_dialog_1920x1080_i420.yuv, 3, 0, 1920, 1080, 4, 800, 73340626, 73340626, 0, 313.814597  
